H0_T,,,,,
V [mL],t [s],E [mV],dV/dt [mL/s],T [°C],Point label
0.4695,60,40.8,0.0075,19,
0.478,61,41.4,0.0085,19,
0.4865,62,42,0.0075,19,
0.495,63,42.7,0.0075,19,
0.503,64,43.3,0.0075,19,
0.5115,65,44,0.0075,19,
0.519,66,44.6,0.0075,19,
0.5275,67,45.3,0.0085,19,
0.536,68,46,0.0075,19,
0.5445,69,46.6,0.0075,19,
0.553,70,47.2,0.0075,19,
0.5615,71,47.7,0.0085,19,
0.569,72,48.5,0.0075,19,
0.5775,73,49.2,0.0085,19,
0.586,74,49.8,0.0075,19,
0.594,75,50.4,0.0075,19,
0.6025,76,51,0.0075,19,
0.611,77,51.7,0.0075,19,
0.6185,78,52.2,0.0075,19,
0.627,79,52.8,0.0085,19,
0.6355,80,53.3,0.0075,19,
0.644,81,54.1,0.0075,19,
0.6525,82,54.9,0.0075,19,
0.6605,83,55.5,0.008,19,
0.6685,84,56.1,0.008,19,
0.6765,85,56.7,0.008,19,
0.685,86,57.5,0.0075,19,
0.6935,87,58.2,0.0075,19,
0.702,88,59.1,0.0075,19,
0.7105,89,59.7,0.0085,19,
0.718,90,60.3,0.0075,19,
0.7265,91,60.9,0.0085,19,
0.735,92,61.5,0.0075,19,
0.7435,93,62.3,0.0075,19,
0.7515,94,63,0.0075,19,
0.7595,95,63.7,0.008,19,
0.7675,96,64.2,0.008,19,
0.776,97,65,0.0085,19,
0.7845,98,65.8,0.0075,19,
0.793,99,66.6,0.0075,19,
0.8015,100,67.3,0.0075,19,
0.809,101,68,0.0075,19,
0.8175,102,68.8,0.0085,19,
0.826,103,69.7,0.0075,19,
0.834,104,70.5,0.0075,19,
0.8425,105,71.5,0.0075,19,
0.851,106,72.1,0.0075,19,
0.8585,107,72.5,0.0075,19,
0.867,108,73.4,0.0085,19,
0.8755,109,74.2,0.0075,19,
0.884,110,75.2,0.0075,19.1,
0.8925,111,76.1,0.0075,19.1,
0.901,112,77.1,0.0075,19.1,
0.9085,113,77.9,0.0075,19.1,
0.917,114,78.8,0.0085,19.1,
0.925,115,79.7,0.0075,19.1,
0.9335,116,80.7,0.0075,19.1,
0.942,117,81.9,0.0075,19.1,
0.9505,118,82.8,0.0075,19.1,
0.958,119,83.6,0.0075,19.1,
0.9665,120,84.4,0.0085,19.1,
0.975,121,85.5,0.0075,19.1,
0.9835,122,86.7,0.0075,19.1,
0.9915,123,88.1,0.0075,19.1,
1,124,89.3,0.0075,19.1,
1.0075,125,90.2,0.0075,19.1,
1.016,126,91.5,0.0085,19.1,
1.0245,127,92.7,0.0075,19.1,
1.033,128,94,0.0075,19.1,
1.0415,129,95.5,0.0075,19.1,
1.05,130,97,0.0085,19.1,
1.0575,131,98.2,0.0075,19.1,
1.066,132,99.7,0.0085,19.1,
1.0745,133,101.4,0.0075,19.1,
1.0825,134,102.9,0.0075,19.1,
1.091,135,104.5,0.0075,19.1,
1.0995,136,106.1,0.0085,19.1,
1.107,137,108.3,0.0075,19.1,
1.1155,138,110.3,0.0085,19.1,
1.124,139,112.3,0.0075,19.1,
1.1325,140,114.8,0.0075,19.1,
1.141,141,117,0.0075,19.1,
1.1485,142,119.4,0.0075,19.1,
1.157,143,122.1,0.0085,19.1,
1.1655,144,124.7,0.0075,19.1,
1.1735,145,127.7,0.0075,19.1,
1.182,146,131,0.0075,19.1,
1.1905,147,134.2,0.0075,19.1,
1.198,148,137.4,0.0075,19.1,
1.2065,149,140.4,0.0085,19.1,
1.215,150,143.9,0.0075,19.1,
1.2235,151,147.3,0.0075,19.1,
1.232,152,150.8,0.0075,19.1,
1.24,153,153.7,0.0075,19.1,
1.248,154,156.6,0.008,19.1,
1.256,155,159.6,0.008,19.1,
1.2645,156,162.4,0.0085,19.1,
1.273,157,164.8,0.0075,19.1,
1.2815,158,167.4,0.0075,19.1,
1.29,159,169.6,0.0075,19.1,
1.2975,160,171.5,0.0075,19.1,
1.306,161,173.6,0.0085,19.1,
1.3145,162,175.6,0.0085,19.1,
1.3225,163,177.5,0.0075,19.1,
1.331,164,179.2,0.0075,19.1,
1.3395,165,180.9,0.0075,19.1,
1.347,166,182.3,0.0075,19.1,
1.3555,167,183.8,0.0085,19.1,
1.365,168,185.1,0.008,19.1,
1.365,408,190.7,0,19.2,
1.3655,409,190.8,0.0005,19.2,
1.367,410,190.8,0.001,19.2,
1.3695,411,190.9,0.002,19.2,
1.3735,412,191.1,0.003,19.2,
1.38,413,191.6,0.005,19.2,
1.388,414,192.3,0.006,19.2,
1.3965,415,193.3,0.007,19.2,
1.404,416,194.2,0.006,19.2,
1.4125,417,195.1,0.007,19.2,
1.421,418,195.9,0.0065,19.2,
1.4295,419,196.9,0.0065,19.2,
1.438,420,197.8,0.0065,19.2,
1.4455,421,198.6,0.006,19.2,
1.454,422,199.5,0.007,19.2,
1.4625,423,200.3,0.007,19.2,
1.471,424,201,0.0065,19.2,
1.479,425,201.7,0.006,19.2,
1.4875,426,202.4,0.0065,19.2,
1.495,427,203.1,0.006,19.2,
1.5035,428,203.7,0.007,19.2,
1.512,429,204.4,0.007,19.2,
1.5205,430,205.1,0.0065,19.2,
1.529,431,205.8,0.0065,19.2,
1.5375,432,206.5,0.0065,19.2,
1.545,433,207,0.006,19.2,
1.5535,434,207.6,0.007,19.2,
1.5615,435,208.3,0.0065,19.2,
1.57,436,208.9,0.0065,19.2,
1.5785,437,209.4,0.0065,19.2,
1.587,438,209.9,0.0065,19.2,
1.5945,439,210.4,0.006,19.3,
1.603,440,210.9,0.007,19.3,
1.6115,441,211.4,0.007,19.3,
1.62,442,212,0.0065,19.3,
1.628,443,212.5,0.006,19.3,
1.6365,444,213,0.0065,19.3,
1.644,445,213.4,0.006,19.3,
1.6525,446,213.9,0.007,19.3,
1.661,447,214.3,0.007,19.3,
1.6695,448,214.9,0.0065,19.3,
1.678,449,215.2,0.0065,19.3,
1.6865,450,215.7,0.0065,19.3,
1.6945,451,216.1,0.0065,19.3,
1.7025,452,216.5,0.0065,19.3,
1.7105,453,216.9,0.0065,19.3,
1.719,454,217.3,0.0065,19.3,
1.7275,455,217.8,0.0065,19.3,
1.736,456,218.2,0.0065,19.3,
1.7445,457,218.6,0.007,19.3,
1.752,458,219,0.006,19.3,
1.7605,459,219.4,0.007,19.3,
1.769,460,219.7,0.0065,19.3,
1.777,461,220.1,0.006,19.3,
1.7855,462,220.5,0.0065,19.3,
1.794,463,220.8,0.0065,19.3,
1.8015,464,221.1,0.006,19.3,
1.81,465,221.4,0.007,19.3,
1.8185,466,221.8,0.0065,19.3,
1.827,467,222.2,0.0065,19.3,
1.8355,468,222.6,0.0065,19.3,
1.843,469,222.8,0.006,19.3,
1.8515,470,223.1,0.007,19.3,
1.8595,471,223.5,0.0065,19.3,
1.868,472,223.8,0.0065,19.3,
1.8765,473,224.1,0.0065,19.3,
1.885,474,224.4,0.0065,19.3,
1.8935,475,224.7,0.007,19.3,
1.901,476,225,0.006,19.3,
1.9095,477,225.3,0.007,19.3,
1.918,478,225.6,0.0065,19.3,
1.9265,479,225.9,0.0065,19.3,
1.9345,480,226.2,0.006,19.3,
1.9425,481,226.5,0.0065,19.3,
1.9505,482,226.8,0.0065,19.3,
1.959,483,227.1,0.007,19.3,
1.9675,484,227.4,0.0065,19.3,
1.976,485,227.6,0.0065,19.3,
1.9845,486,227.9,0.0065,19.3,
1.992,487,228.2,0.006,19.3,
2.0005,488,228.4,0.007,19.3,
2.009,489,228.7,0.007,19.3,
2.017,490,228.9,0.006,19.3,
2.0255,491,229.2,0.0065,19.3,
2.034,492,229.4,0.0065,19.3,
2.0415,493,229.7,0.006,19.3,
2.05,494,229.9,0.007,19.3,
2.0585,495,230.1,0.007,19.3,
2.067,496,230.4,0.0065,19.3,
2.0755,497,230.7,0.0065,19.3,
2.0835,498,230.9,0.006,19.3,
2.092,499,231.1,0.007,19.3,
2.0995,500,231.3,0.006,19.3,
2.108,501,231.6,0.007,19.3,
2.1165,502,231.8,0.0065,19.3,
2.125,503,232,0.0065,19.3,
2.1335,504,232.3,0.0065,19.3,
2.142,505,232.5,0.007,19.3,
2.1495,506,232.7,0.006,19.3,
2.1575,507,233,0.0065,19.3,
2.166,508,233.1,0.0065,19.3,
2.1745,509,233.3,0.0065,19.3,
2.183,510,233.5,0.0065,19.3,
2.1915,511,233.7,0.007,19.3,
2.199,512,234,0.006,19.3,
2.207,513,234.2,0.0065,19.3,
2.2145,514,234.5,0.006,19.3,
2.2175,515,234.5,0.0025,19.3,
2.218,516,234.6,0.0005,19.3,
2.2185,517,234.7,0.0005,19.3,
2.22,518,234.8,0.001,19.3,
2.222,519,234.7,0.0015,19.3,
2.225,520,234.8,0.0025,19.3,
2.2295,521,234.8,0.0035,19.3,
2.2375,522,235,0.0055,19.3,
2.2375,,235,,,EP
